                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                    121,               0.025957,                0.01457,               0.023857,              0.0006875,                0.99581,                0.99274,                0.99312,                 0.7685,                0.99799,                0.98438,                0.98865,                 0.7473,               0.027678,               0.042763,               0.034746,             0.00054674,               0.007624,               0.007624,               0.007624
                    122,               0.026014,               0.013834,               0.027069,             0.00064375,                0.99656,                0.99158,                0.99115,                0.75851,                 0.9926,                0.98562,                0.99075,                0.75801,               0.026853,               0.045108,               0.035841,             0.00062237,              0.0076042,              0.0076042,              0.0076042
                    123,               0.025474,               0.015214,               0.025801,             0.00076223,                 0.9977,                0.98438,                0.99127,                 0.7526,                 0.9977,                0.98438,                0.98774,                0.75639,               0.026617,               0.045527,               0.035351,             0.00069151,              0.0075844,              0.0075844,              0.0075844
                    124,               0.025878,               0.014087,               0.025595,               0.000751,                0.99036,                0.98438,                0.99075,                0.75887,                0.99036,                0.98438,                0.98732,                0.76987,               0.025056,               0.048631,               0.035536,             0.00068207,              0.0075646,              0.0075646,              0.0075646
                    125,               0.025203,               0.014756,               0.025052,             0.00071972,                0.99771,                0.98438,                0.99082,                0.77237,                0.99771,                0.98438,                0.98649,                0.76121,               0.025474,               0.055612,               0.037071,             0.00069761,              0.0075448,              0.0075448,              0.0075448
                    126,               0.024833,               0.014241,               0.024983,             0.00082361,                0.99621,                0.97917,                 0.9901,                0.77901,                0.99656,                0.98076,                0.98625,                0.76712,               0.025915,               0.056331,               0.039808,             0.00073457,               0.007525,               0.007525,               0.007525
                    127,               0.024433,               0.014234,               0.024975,             0.00083263,                0.99341,                0.96875,                0.99062,                0.77543,                0.99618,                  0.973,                0.98619,                0.76875,               0.026112,               0.057239,               0.042925,             0.00073161,              0.0075052,              0.0075052,              0.0075052
                    128,               0.025883,               0.014999,               0.025027,             0.00083036,                0.99512,                0.97075,                0.99084,                0.75776,                0.98961,                0.98067,                0.98647,                0.76761,                0.02474,               0.056054,               0.041496,             0.00070834,              0.0074854,              0.0074854,              0.0074854
                    129,                 0.0246,               0.015035,               0.025003,               0.000777,                 0.9956,                0.97595,                0.99057,                0.73575,                 0.9956,                0.97595,                0.98626,                0.75211,               0.026483,               0.056193,               0.040489,             0.00068679,              0.0074656,              0.0074656,              0.0074656
                    130,               0.025695,               0.014603,               0.026775,             0.00068789,                0.99665,                0.97917,                0.98907,                 0.7588,                0.99665,                0.97917,                0.98624,                0.75766,               0.027315,               0.057506,               0.043581,             0.00066247,              0.0074458,              0.0074458,              0.0074458
                    131,               0.026632,               0.014772,                0.02489,             0.00061451,                0.99519,                0.98558,                0.98844,                0.78851,                0.99519,                0.98558,                0.98654,                0.76726,               0.026265,               0.055938,               0.042404,             0.00055389,               0.007426,               0.007426,               0.007426
                    132,               0.025593,               0.014107,               0.024531,             0.00055839,                0.97551,                0.97917,                0.99025,                0.75597,                0.97551,                0.97917,                0.98836,                 0.7716,                0.02589,                0.05265,               0.038841,             0.00055451,              0.0074062,              0.0074062,              0.0074062
                    133,                0.02458,               0.014225,               0.023676,             0.00067236,                0.99064,                0.97917,                0.98811,                0.75938,                  0.996,                0.98438,                0.99107,                0.75627,               0.026022,               0.042453,               0.038731,              0.0006284,              0.0073864,              0.0073864,              0.0073864
                    134,               0.025353,               0.013958,               0.026338,             0.00074736,                0.99372,                0.98438,                0.98911,                0.74323,                0.99372,                0.98438,                0.98795,                0.74062,               0.026776,               0.042141,               0.038191,             0.00071254,              0.0073666,              0.0073666,              0.0073666
                    135,               0.026232,               0.013677,                0.02573,             0.00084645,                0.98923,                0.98438,                0.98923,                 0.7736,                0.98923,                0.98438,                0.98792,                 0.7764,               0.025536,               0.043226,               0.040956,             0.00078268,              0.0073468,              0.0073468,              0.0073468
                    136,               0.025087,               0.013772,               0.027296,             0.00086216,                0.99455,                0.98958,                0.99165,                0.76802,                0.99455,                0.98958,                0.98929,                 0.7758,               0.025475,               0.043968,               0.047173,             0.00067818,               0.007327,               0.007327,               0.007327
                    137,               0.025218,                0.01393,               0.024293,               0.000765,                0.99747,                0.98781,                0.98865,                0.73254,                0.99747,                0.98781,                 0.9878,                0.73062,               0.029051,                0.04609,               0.040586,             0.00062871,              0.0073072,              0.0073072,              0.0073072
                    138,               0.025525,               0.013563,               0.023265,             0.00066346,                0.99827,                0.98799,                0.98944,                 0.7642,                0.99827,                0.98799,                0.98727,                0.73792,               0.029772,               0.045211,               0.040775,             0.00058002,              0.0072874,              0.0072874,              0.0072874
                    139,               0.026452,               0.014363,               0.025401,              0.0005712,                0.99077,                 0.9819,                0.98773,                0.76824,                0.99077,                 0.9819,                0.98759,                0.77287,                0.02603,               0.043466,               0.040907,             0.00055656,              0.0072676,              0.0072676,              0.0072676
                    140,               0.025495,               0.014031,               0.025778,              0.0006013,                0.98513,                0.97917,                0.98678,                0.76219,                0.99043,                0.98438,                0.98765,                0.77902,                0.02617,               0.041164,               0.040394,              0.0006309,              0.0072478,              0.0072478,              0.0072478
                    141,               0.025412,                0.01399,               0.024341,             0.00075422,                0.98454,                0.97917,                0.98664,                0.72075,                0.98984,                0.98438,                0.98757,                0.74239,               0.028382,               0.041847,               0.040514,             0.00077076,               0.007228,               0.007228,               0.007228
                    142,               0.025715,               0.013983,               0.024405,             0.00084325,                0.98741,                0.97308,                   0.99,                0.75516,                0.99283,                0.97817,                 0.9874,                0.74021,               0.027051,               0.045019,               0.038666,             0.00076327,              0.0072082,              0.0072082,              0.0072082
                    143,                 0.0255,               0.013976,               0.025841,             0.00071924,                0.98923,                0.98438,                0.99119,                0.76964,                0.98923,                0.98438,                0.98707,                0.75184,               0.025015,               0.048292,               0.037085,             0.00067191,              0.0071884,              0.0071884,              0.0071884
                    144,               0.024163,               0.013887,               0.023638,             0.00070687,                0.99134,                0.98391,                0.99289,                0.77077,                0.99134,                0.98391,                0.98777,                0.75798,               0.025298,                0.05061,               0.040714,             0.00062437,              0.0071686,              0.0071686,              0.0071686
                    145,               0.024382,               0.013708,               0.022485,             0.00068017,                0.99767,                0.98247,                0.99154,                0.77598,                0.99767,                0.98247,                0.98779,                0.74444,                0.02517,               0.053418,               0.041761,             0.00060725,              0.0071488,              0.0071488,              0.0071488
                    146,               0.024333,               0.014247,               0.024676,             0.00064643,                 0.9945,                0.97917,                 0.9915,                0.76174,                 0.9977,                0.98341,                 0.9907,                0.74455,               0.026536,                0.05431,               0.040241,             0.00059757,               0.007129,               0.007129,               0.007129
                    147,               0.024206,               0.014067,               0.023937,             0.00061009,                0.98931,                0.97917,                0.99231,                0.78319,                0.99467,                0.98438,                0.98756,                 0.7738,               0.026303,               0.060263,               0.047178,             0.00057271,              0.0071092,              0.0071092,              0.0071092
                    148,               0.024815,               0.013987,               0.026174,             0.00060626,                 0.9946,                0.97443,                 0.9913,                0.76623,                0.99916,                0.98381,                0.98641,                0.76678,               0.026937,               0.061437,                0.05195,             0.00059257,              0.0070894,              0.0070894,              0.0070894
                    149,               0.024943,               0.013332,               0.024852,             0.00066316,                0.98811,                0.97804,                0.99074,                0.75569,                0.99344,                0.98325,                0.98651,                 0.7543,               0.026445,               0.058445,               0.047689,             0.00063577,              0.0070696,              0.0070696,              0.0070696
                    150,               0.024206,               0.013727,                0.02554,             0.00063308,                0.98786,                0.97917,                0.99019,                0.72508,                0.99318,                0.98438,                0.98665,                0.73182,               0.029659,               0.055929,                0.04114,             0.00064659,              0.0070498,              0.0070498,              0.0070498
                    151,               0.024521,               0.014202,               0.022943,             0.00063051,                 0.9814,                0.96745,                0.99017,                0.74671,                0.98405,                 0.9753,                0.98641,                0.77204,               0.025347,               0.058762,                0.04274,             0.00052013,                0.00703,                0.00703,                0.00703
                    152,               0.024994,               0.014172,               0.023961,             0.00054595,                0.99456,                0.97148,                0.99059,                0.74926,                      1,                0.97669,                0.98634,                0.77174,               0.026627,               0.058369,               0.040989,             0.00048838,              0.0070102,              0.0070102,              0.0070102
                    153,               0.024254,               0.013475,               0.024598,             0.00054285,                0.99088,                0.98275,                0.99102,                 0.7725,                0.99088,                0.98275,                0.99102,                0.75676,               0.025625,               0.057839,               0.041941,             0.00057206,              0.0069904,              0.0069904,              0.0069904
                    154,               0.022989,               0.013113,               0.023407,             0.00071842,                0.99453,                0.97807,                0.99415,                0.79012,                0.99999,                0.98321,                0.99445,                0.76942,               0.023587,               0.058994,               0.044479,             0.00066519,              0.0069706,              0.0069706,              0.0069706
                    155,               0.022863,               0.012547,               0.021885,             0.00084879,                 0.9949,                0.97917,                0.99059,                0.72792,                0.99868,                  0.987,                0.98757,                0.73697,               0.027656,               0.060555,               0.047634,             0.00075655,              0.0069508,              0.0069508,              0.0069508
                    156,               0.024235,               0.014133,                 0.0248,             0.00092025,                0.99833,                0.98313,                0.99025,                0.74479,                0.99833,                0.98313,                0.98738,                0.74312,               0.026441,               0.060789,               0.049231,             0.00075953,               0.006931,               0.006931,               0.006931
                    157,               0.023572,               0.012874,               0.022472,             0.00086576,                0.99732,                0.97396,                0.99078,                0.75396,                0.99613,                0.97776,                0.98789,                 0.7845,               0.025241,               0.059129,               0.051136,              0.0006469,              0.0069112,              0.0069112,              0.0069112
                    158,               0.024362,               0.014117,               0.024839,             0.00070464,                0.99827,                0.97917,                0.99095,                0.76186,                0.99679,                0.98244,                0.98755,                0.77651,               0.025618,               0.059404,               0.053902,             0.00055969,              0.0068914,              0.0068914,              0.0068914
                    159,               0.022846,               0.013233,               0.023859,             0.00059002,                0.99765,                0.98661,                0.99049,                0.75639,                0.99765,                0.98661,                0.98757,                0.74941,               0.025927,               0.060063,               0.053968,             0.00049139,              0.0068716,              0.0068716,              0.0068716
                    160,               0.023938,               0.013263,               0.024085,             0.00049982,                0.99254,                0.98958,                0.99053,                 0.7552,                0.99254,                0.98958,                0.98662,                0.74311,               0.026704,               0.058329,               0.054815,             0.00046973,              0.0068518,              0.0068518,              0.0068518
                    161,               0.021967,               0.014259,               0.021821,             0.00048507,                0.93766,                0.98958,                0.98864,                0.74989,                0.93766,                0.98958,                0.98524,                0.76442,               0.026523,               0.055098,               0.052982,             0.00042315,               0.006832,               0.006832,               0.006832
                    162,               0.025539,               0.013726,               0.024666,             0.00048688,                0.99737,                0.98958,                0.99333,                0.78306,                0.99737,                0.98958,                 0.9893,                 0.7707,               0.024013,               0.053421,               0.047995,             0.00044432,              0.0068122,              0.0068122,              0.0068122
                    163,               0.023625,               0.013195,               0.023375,             0.00059999,                0.99474,                0.99001,                 0.9948,                0.76504,                0.98983,                0.98438,                0.98829,                0.76244,                0.02273,               0.044086,               0.042738,             0.00053993,              0.0067924,              0.0067924,              0.0067924
                    164,               0.022497,               0.012711,               0.024252,             0.00073977,                0.99664,                0.98832,                 0.9947,                 0.7963,                0.99664,                0.98832,                 0.9947,                0.76412,               0.022129,               0.046016,               0.037189,             0.00059268,              0.0067726,              0.0067726,              0.0067726
                    165,               0.023583,               0.013128,               0.024687,             0.00079234,                0.99758,                0.99339,                 0.9949,                0.79104,                0.99758,                0.99339,                0.99495,                0.78307,               0.022497,               0.042195,               0.038872,             0.00057678,              0.0067528,              0.0067528,              0.0067528
                    166,                 0.0222,               0.012938,               0.024965,             0.00072536,                0.99748,                0.99267,                0.99246,                0.78079,                0.99748,                0.99267,                  0.995,                0.78407,               0.023562,                0.04765,               0.044069,             0.00051544,               0.006733,               0.006733,               0.006733
                    167,               0.023416,               0.012826,               0.022634,             0.00063496,                0.99665,                0.99289,                0.99457,                0.77751,                0.99245,                0.98663,                0.99354,                0.74651,                0.02332,               0.052906,               0.042963,              0.0004822,              0.0067132,              0.0067132,              0.0067132
                    168,               0.022255,               0.013316,               0.021091,             0.00064761,                0.99142,                0.99479,                0.99324,                0.77191,                0.98616,                0.98958,                0.99288,                0.75604,               0.024479,               0.049835,               0.042967,             0.00055192,              0.0066934,              0.0066934,              0.0066934
                    169,               0.022502,               0.012633,               0.024496,             0.00074722,                0.99294,                0.99479,                0.99253,                0.79942,                0.99309,                0.99502,                  0.995,                0.77164,               0.021943,               0.048753,               0.041458,             0.00066912,              0.0066736,              0.0066736,              0.0066736
                    170,               0.023588,               0.013314,               0.024327,             0.00084005,                0.99225,                0.99479,                0.99246,                0.77624,                  0.987,                0.98958,                0.99444,                0.78523,               0.021984,               0.049441,               0.043091,             0.00072315,              0.0066538,              0.0066538,              0.0066538
                    171,               0.023207,               0.013127,               0.022421,             0.00080703,                0.99555,                0.99254,                 0.9925,                0.78152,                0.99022,                0.98737,                0.99141,                0.76274,               0.022318,               0.049757,               0.045435,              0.0006705,               0.006634,               0.006634,               0.006634
                    172,               0.022256,               0.012579,                0.02258,             0.00070941,                0.99665,                0.99131,                0.99242,                0.80238,                 0.9913,                0.98614,                0.99071,                0.75476,               0.021434,               0.050763,               0.044983,             0.00061898,              0.0066142,              0.0066142,              0.0066142
                    173,               0.023399,               0.012782,               0.022509,             0.00063998,                0.99502,                0.99054,                0.99206,                0.79689,                0.99502,                0.99054,                 0.9934,                 0.7761,               0.022531,               0.052956,               0.046104,             0.00050478,              0.0065944,              0.0065944,              0.0065944
                    174,               0.022456,               0.012796,               0.022685,             0.00049731,                 0.9965,                0.98944,                0.99174,                  0.791,                 0.9965,                0.98944,                 0.9944,                 0.7735,                0.02359,               0.054277,                0.04616,             0.00045989,              0.0065746,              0.0065746,              0.0065746
                    175,               0.023274,               0.012745,               0.023033,             0.00046805,                0.99489,                 0.9837,                0.99185,                0.79259,                0.99592,                0.98257,                0.98889,                0.76076,               0.022655,               0.054388,               0.046524,             0.00047286,              0.0065548,              0.0065548,              0.0065548
                    176,               0.022243,               0.012665,               0.023474,              0.0004969,                0.99644,                0.98336,                0.99201,                0.78599,                0.99099,                0.97822,                0.98353,                 0.7534,               0.024277,                0.05438,               0.045948,             0.00046268,               0.006535,               0.006535,               0.006535
                    177,               0.023381,               0.013087,               0.023718,             0.00047791,                0.99716,                0.98438,                0.99374,                0.81265,                0.99179,                0.97917,                0.98662,                0.77135,               0.022597,               0.054052,               0.048285,             0.00044382,              0.0065152,              0.0065152,              0.0065152
                    178,               0.021866,               0.012708,               0.023534,             0.00053037,                0.99813,                0.98438,                0.99419,                0.80701,                0.99813,                0.98438,                0.99034,                0.77483,                0.02203,               0.051796,               0.048775,              0.0004756,              0.0064954,              0.0064954,              0.0064954
                    179,               0.023038,               0.012811,               0.025242,             0.00056537,                0.99828,                 0.9871,                0.99246,                0.80246,                0.99828,                 0.9871,                0.98885,                0.75942,                 0.0235,               0.052898,               0.048168,             0.00050776,              0.0064756,              0.0064756,              0.0064756
                    180,               0.021635,               0.013094,               0.023941,             0.00063656,                      1,                0.98825,                0.99381,                0.79668,                      1,                0.98825,                0.99058,                0.76616,                0.02347,                0.05247,               0.049339,             0.00053523,              0.0064558,              0.0064558,              0.0064558
                    181,               0.022069,               0.013238,               0.022221,             0.00068433,                0.99884,                 0.9875,                0.99434,                0.80666,                0.99884,                 0.9875,                0.99429,                0.77577,               0.023258,               0.054082,               0.050638,             0.00056138,               0.006436,               0.006436,               0.006436
                    182,               0.021568,               0.013359,               0.022434,             0.00065747,                0.99718,                0.98706,                0.99435,                  0.765,                0.99718,                0.98706,                0.99048,                 0.7485,               0.024131,               0.052776,               0.048876,             0.00057993,              0.0064162,              0.0064162,              0.0064162
                    183,               0.021695,               0.012628,               0.023549,              0.0006791,                0.99978,                0.99365,                0.99239,                0.79654,                0.99978,                0.99365,                0.99239,                0.77956,               0.022783,               0.051288,               0.045481,             0.00059347,              0.0063964,              0.0063964,              0.0063964
                    184,               0.021456,               0.013064,               0.021201,             0.00068916,                      1,                0.99265,                0.99165,                0.80322,                      1,                0.99265,                0.99223,                 0.7854,               0.023606,               0.051723,               0.044287,             0.00061712,              0.0063766,              0.0063766,              0.0063766
                    185,               0.020802,               0.012828,               0.023001,             0.00067609,                0.99757,                0.98146,                0.99109,                0.80043,                0.99147,                0.98911,                 0.9913,                0.78828,                0.02553,               0.052284,                0.04344,             0.00062814,              0.0063568,              0.0063568,              0.0063568
                    186,               0.021642,                0.01369,               0.022098,             0.00070248,                0.99335,                 0.9874,                0.99249,                0.80149,                0.99335,                 0.9874,                0.99249,                0.78706,               0.023874,               0.052365,               0.044565,             0.00063419,               0.006337,               0.006337,               0.006337
                    187,               0.020808,               0.012363,               0.022516,             0.00068151,                0.99739,                0.98958,                0.99206,                0.80161,                0.99739,                0.98958,                0.99206,                0.77492,               0.025853,               0.055867,               0.046564,             0.00060978,              0.0063172,              0.0063172,              0.0063172
                    188,               0.021164,                0.01243,               0.020524,             0.00063877,                0.99626,                0.99029,                0.99222,                0.80191,                0.99626,                0.99029,                0.99222,                0.76823,               0.024566,               0.057838,               0.049442,             0.00056849,              0.0062974,              0.0062974,              0.0062974
                    189,               0.021371,               0.012793,               0.022025,             0.00053915,                0.99492,                0.98912,                0.99125,                0.78784,                0.99492,                0.98912,                0.98802,                0.77469,               0.024751,               0.059367,                0.04406,             0.00052891,              0.0062776,              0.0062776,              0.0062776
                    190,               0.021106,               0.012464,               0.022375,             0.00052715,                0.99335,                 0.9895,                0.99118,                0.80751,                0.99335,                 0.9895,                0.99118,                0.77605,               0.024415,               0.059483,               0.045132,             0.00053339,              0.0062578,              0.0062578,              0.0062578
                    191,               0.021235,               0.012804,               0.021793,             0.00056045,                0.99181,                0.98958,                0.99461,                0.79442,                0.99181,                0.98958,                 0.9913,                0.74826,               0.025671,               0.054661,               0.043882,             0.00056996,               0.006238,               0.006238,               0.006238
                    192,               0.020451,               0.013933,               0.022806,             0.00061382,                  0.996,                  0.994,                0.99124,                0.81161,                  0.996,                  0.994,                0.99124,                0.75525,               0.024338,               0.053108,               0.043314,               0.000563,              0.0062182,              0.0062182,              0.0062182
                    193,               0.020246,               0.012422,               0.021653,             0.00059508,                0.99284,                0.98962,                0.99114,                0.80104,                0.99284,                0.98962,                0.99114,                 0.7749,               0.024481,               0.054397,               0.047812,              0.0005477,              0.0061984,              0.0061984,              0.0061984
                    194,                0.02035,               0.012282,                0.02171,             0.00061829,                0.99262,                0.98958,                0.99113,                0.79958,                0.99262,                0.98958,                0.99254,                0.76317,               0.024285,               0.055794,               0.052839,             0.00056441,              0.0061786,              0.0061786,              0.0061786
                    195,               0.021178,               0.012566,               0.019853,             0.00070034,                0.99175,                0.98958,                0.99088,                0.79928,                0.99175,                0.98958,                0.98877,                0.75081,               0.024386,               0.056844,                0.05423,             0.00063076,              0.0061588,              0.0061588,              0.0061588
                    196,               0.020461,               0.012406,               0.021814,              0.0007329,                0.99173,                0.98958,                0.99081,                0.79036,                0.99173,                0.98958,                0.98885,                0.75389,               0.023037,               0.054928,               0.054159,             0.00066117,               0.006139,               0.006139,               0.006139
                    197,                  0.021,               0.012953,               0.021147,              0.0007478,                0.99207,                0.98907,                0.99105,                0.78827,                0.98681,                0.98386,                0.98647,                  0.768,               0.023282,               0.051608,               0.051302,             0.00061541,              0.0061192,              0.0061192,              0.0061192
                    198,               0.020155,               0.012477,               0.021596,             0.00068172,                0.99147,                 0.9872,                0.99093,                0.78812,                0.98613,                0.98214,                 0.9851,                0.77576,               0.023097,               0.050649,                 0.0532,             0.00057071,              0.0060994,              0.0060994,              0.0060994
                    199,               0.020883,               0.012409,               0.021106,              0.0005354,                 0.9894,                0.98855,                0.99096,                0.78991,                 0.9894,                0.98855,                0.98678,                0.75556,               0.023953,               0.052098,               0.054548,              0.0004892,              0.0060796,              0.0060796,              0.0060796
                    200,               0.021518,               0.012865,               0.021911,              0.0004777,                0.99277,                0.98958,                0.99088,                0.78731,                0.99277,                0.98958,                0.98884,                0.74494,               0.024503,               0.053958,               0.053566,             0.00045828,              0.0060598,              0.0060598,              0.0060598
                    201,               0.019943,               0.012897,               0.021684,             0.00044818,                0.99615,                0.98943,                0.99114,                0.78439,                0.99615,                0.98943,                0.98699,                0.76054,               0.023894,                0.05666,               0.048374,             0.00045259,                0.00604,                0.00604,                0.00604
                    202,               0.019942,               0.012244,               0.020841,             0.00048676,                0.99178,                0.98882,                0.99144,                0.80265,                0.99178,                0.98882,                0.99144,                 0.7784,               0.023339,               0.053142,               0.049997,             0.00048571,              0.0060202,              0.0060202,              0.0060202
                    203,               0.020357,               0.012941,               0.021587,             0.00059378,                 0.9961,                0.98438,                0.99418,                0.79235,                 0.9961,                0.98438,                0.99067,                0.75484,               0.022476,               0.048921,               0.042093,             0.00057402,              0.0060004,              0.0060004,              0.0060004
                    204,                0.01986,               0.012705,               0.021318,             0.00067692,                0.99582,                0.98794,                0.99446,                0.79855,                0.99582,                0.98794,                0.99432,                0.75415,               0.023092,               0.046174,               0.041479,             0.00063994,              0.0059806,              0.0059806,              0.0059806
                    205,               0.019752,                 0.0127,               0.022107,             0.00074488,                0.99663,                0.98958,                 0.9946,                 0.8002,                 0.9954,                0.99241,                 0.9948,                0.76549,               0.021549,               0.042172,               0.034552,             0.00064793,              0.0059608,              0.0059608,              0.0059608
                    206,                0.02038,               0.013225,               0.020998,             0.00074771,                0.99668,                0.98958,                0.99465,                 0.8029,                 0.9974,                0.99063,                 0.9948,                0.76496,               0.021122,               0.040694,               0.032297,             0.00058212,               0.005941,               0.005941,               0.005941
                    207,               0.020715,               0.012593,               0.019955,             0.00066833,                0.99532,                0.98438,                0.99431,                0.80124,                0.98721,                0.99479,                0.99107,                0.76542,               0.021684,               0.040458,               0.033266,             0.00051432,              0.0059212,              0.0059212,              0.0059212
                    208,               0.020926,               0.012413,               0.022714,              0.0005382,                 0.9976,                0.98438,                0.99464,                0.79135,                 0.9976,                0.98438,                0.99455,                0.75817,                0.02245,               0.039159,                0.03281,             0.00045762,              0.0059014,              0.0059014,              0.0059014
                    209,               0.020082,               0.011678,               0.020879,             0.00046725,                0.99731,                0.98438,                 0.9945,                0.80085,                0.99731,                0.98438,                0.99081,                0.77249,               0.021641,               0.043419,               0.036564,             0.00040222,              0.0058816,              0.0058816,              0.0058816
                    210,               0.019219,               0.011642,               0.022267,             0.00040559,                0.99803,                0.98297,                 0.9944,                0.80713,                0.99803,                0.98297,                0.99075,                0.77561,                0.02192,               0.048259,               0.040894,             0.00039518,              0.0058618,              0.0058618,              0.0058618
                    211,               0.019894,               0.011699,                0.01927,             0.00039342,                0.98774,                0.98438,                0.99445,                0.79742,                0.98774,                0.98438,                0.99092,                0.75749,               0.022255,               0.048854,                0.04282,              0.0003798,               0.005842,               0.005842,               0.005842
                    212,               0.020495,               0.011972,               0.021747,             0.00038383,                0.98901,                  0.982,                0.99422,                0.80057,                0.98901,                  0.982,                0.99066,                0.75243,               0.022729,                0.05063,               0.046389,             0.00036811,              0.0058222,              0.0058222,              0.0058222
                    213,                 0.0206,               0.011601,                0.01985,             0.00037432,                0.98997,                 0.9817,                0.99387,                0.81343,                0.98997,                 0.9817,                0.98634,                0.76297,               0.021298,               0.052344,               0.047405,             0.00040159,              0.0058024,              0.0058024,              0.0058024
                    214,               0.019526,                0.01147,               0.021267,             0.00045745,                0.99117,                0.98449,                0.99343,                0.79845,                0.99117,                0.98449,                0.98581,                0.76815,               0.021776,               0.051514,               0.048115,             0.00045788,              0.0057826,              0.0057826,              0.0057826
